ICDId;ICDCode;ICDName;ICDNameTranslated
7853;Q83.3;Aksesuar meme ucu;Accessory nipple
7854;Q83.8;Memenin diğer konjenital malformasyonları;Other congenital malformations of breast
7855;Q83.9;Memenin konjenital malformasyonu, tanımlanmamış;Congenital malformation of breast, unspecified
7856;Q84;Deri eklerinin diğer konjenital malformasyonları;Other congenital malformations of skin appendages
7857;Q84.0;Konjenital alopesi;Congenital alopecia
7858;Q84.1;Saçın konjenital morfolojik bozuklukları, başka yerde sınıflanmamış;Hair morphological congenital disorders, not elsewhere classified
7859;Q84.2;Saçın diğer konjenital malformasyonları;Other congenital malformations of hair
7860;Q84.3;Anonişi;anonychia
7861;Q84.4;Konjenital lökonişi;Lökoniş of Congenital
7862;Q84.5;Genişlemiş ve hipertrofik tırnaklar;Enlarged and hypertrophic nails
7863;Q84.6;Tırnakların diğer konjenital malformasyonları;Other congenital malformations of nails
7864;Q84.8;Cilt eklerinin diğer tanımlanmış konjenital malformasyonları;Other specified congenital malformations of skin attachments
7865;Q84.9;Cilt eklerinin konjenital malformasyonu, tanımlanmamış;Skin appendices Congenital malformation, unspecified
7866;Q85;Fakomatozlar, başka yerde sınıflanmamış;Phacomatoses, not elsewhere classified
7867;Q85.0;Nörofibromatozis (malign olmayan);Neurofibromatosis (non-malignant)
7868;Q85.1;Tuberoskleroz;Tuberous sclerosis
7869;Q85.8;Fakomatozlar diğer, başka yerde sınıflanmamış;Phacomatoses other, not elsewhere classified
7870;Q85.9;Fakomatoz, tanımlanmamış;Phacomatoses, unspecified
7871;Q86;Bilinen eksojen sebeplere bağlı konjenital malformasyon ;congenital malformations due to known exogenous causes 
7872;Q86.0;Fetal alkol sendromu (dismorfik);Fetal alcohol syndrome (dysmorphic)
7873;Q86.1;Fetal hidantoin sendromu;Fetal hydantoin syndrome
7874;Q86.2;Warfarine bağlı dismorfizm;Warfare connected dysmorphism
7875;Q86.8;Konjenital malformasyon sendromları, bilinen dış etkenlere bağlı, diğer;Congenital malformation syndromes due to known external factors, other
7876;Q87;Birden fazla sistemi etkileyen diğer tanımlanmış konjenital ;Other specified congenital affecting multiple systems 
7877;Q87.0;Yüz görünüşünü etkileyen konjenital malformasyon sendromları;congenital malformation syndromes affecting facial appearance
7878;Q87.1;Kısa boy ile birlikte olan konjenital malformasyon sendromları;Short stature associated with congenital malformation syndromes
7879;Q87.2;Ekstremiteleri tutan konjenital malformasyon sendromları;Congenital malformation syndromes involving limbs
7880;Q87.3;Erken fazla büyümeye neden olan konjenital malformasyon sendromları;Early congenital malformation syndromes that cause more growth
7881;Q87.4;Marfan sendromu;Marfan syndrome
7882;Q87.5;Konjenital diğer malformasyon sendromları, diğer iskelet değişiklikleriyle;Other congenital malformation syndromes with other skeletal changes
7883;Q87.8;Sendromlar diğer tanımlanmış, başka yerde sınıflanmamış;Other defined syndromes, not elsewhere classified
7884;Q89;Konjenital diğer malformasyonlar, başka yerde sınıflanmamış;Other congenital malformations, not elsewhere classified
7885;Q89.0;Dalağın konjenital malformasyonları;Congenital malformations of spleen
7886;Q89.1;Adrenal bezin konjenital malformasyonları;Congenital malformations of adrenal gland
7887;Q89.2;Endokrin bezlerin konjenital diğer malformasyonları;Congenital malformations of other endocrine glands
7888;Q89.3;Situs inversus;situs inversus
7889;Q89.4;Bitişik ikizler;Conjoined twins
7890;Q89.7;Birden fazla konjenital malformasyonlar, başka yerde sınıflanmamış;Multiple congenital malformations, not elsewhere classified
7891;Q89.8;Konjenital diğer malformasyonlar, tanımlanmış;Other congenital malformations, defined
7892;Q89.9;Konjenital malformasyon, tanımlanmamış;Congenital malformation, unspecified
7893;Q90;Down sendromu;Down's syndrome
7894;Q90.0;Trizomi 21, miyotik ayrılmama;Trisomy 21, meiotic segregation to
7895;Q90.1;Trizomi 21, mosaisizm (mitotik ayrılmama);Trisomy 21 mosaicism (Left to mitotic)
7896;Q90.2;Trizomi 21, translokasyon;Trisomy 21, translocation
7897;Q90.9;Down sendromu, tanımlanmamış;Down's syndrome, unspecified
7898;Q91;Edward sendromu ve Patau sendromu;Edwards syndrome and Patau syndrome
7899;Q91.0;Trizomi 18, miyotik ayrılmama;Trisomy 18, miotics separation to
7900;Q91.1;Trizomi 18, mosaisizm (mitotik ayrılmama);Trisomy 18 mosaicism (Left to mitotic)
7901;Q91.2;Trizomi 18, translokasyon;Trisomy 18, translocation
7902;Q91.3;Edward sendromu, tanımlanmamış;Edwards' syndrome, unspecified
7903;Q91.4;Trizomi 13, miyotik ayrılmama;Trisomy 13, miotics separation to
7904;Q91.5;Trizomi 13, mosaisizm (mitotik ayrılmama);Trisomy 13 mosaicism (Left to mitotic)
7905;Q91.6;Trizomi 13, translokasyon;Trisomy 13, translocation
7906;Q91.7;Patau sendromu, tanımlanmamış;Patau's syndrome, unspecified
7907;Q92;Trizomiler ve otozomların parsiyel diğer trizomileri, başka ;Other trisomies and partial trisomies of the autosomes, other 
7908;Q92.0;Tam kromozom trizomisi, miyotik ayrılmama;Full trisomies of chromosomes, meiotic segregation to
7909;Q92.1;Tam kromozom trizomisi, mosaisizm (mitotik ayrılmama);The whole chromosome trisomies, mosaicism (mitotic leave me)
7910;Q92.2;Majör parsiyel trizomi;Major partial trisomy
7911;Q92.3;Minör parsiyel trizomi;Minor partial trisomy
7912;Q92.4;Sadece prometafazda görülen duplikasyonlar;Duplications seen only at prometaphase
7913;Q92.5;Duplikasyonlar, diğer kompleks düzenlemeler ile;Duplications with other complex arrangements
7914;Q92.6;Ekstra marker kromozomlar;Extra marker chromosomes
7915;Q92.7;Triploidi ve poliploidi;Triploidy and polyploidy
7916;Q92.8;Trizomiler ve otozomal parsiyel trizomiler diğer, tanımlanmış;Autosomal trisomies and partial trisomies Other specified
7917;Q92.9;Otozomal trizomi ve parsiyel trizomi, tanımlanmamış;Autosomal trisomy and partial trisomy, unspecified
7918;Q93;Monozomiler ve otozomal kromozom delesyonları, başka ;Monosomy and autosomal chromosome deletions, other 
7919;Q93.0;Tam kromozom monozomisi, miyotik ayrılmama;Full of chromosome monosomy, meiotic segregation to
7920;Q93.1;Tam kromozom monozomisi, mosaisizm (mitotik ayrılmama);Full of chromosome monosomy, mosaicism (mitotic leave me)
7921;Q93.2;Disentrik veya halkanın yerine geçtiği kromozom;Chromosome replaced with ring or dicentric
7922;Q93.3;4. kromozom kısa kolunun delesyonu;Deletion of the short arm of chromosome 4
7923;Q93.4;5. kromozom kısa kolunun delesyonu;Deletion of the short arm of chromosome 5
7924;Q93.5;Bir kromozom parçasının diğer delesyonları;Other deletions of part of a chromosome
7925;Q93.6;Sadece prometafazda görülen delesyonlar;Deletions seen only at prometaphase
7926;Q93.7;Delesyonlar diğer, kompleks yeniden düzenlenmelerle birlikte olan;Deletions with other complex rearrangements associated
7927;Q93.8;Otozomların diğer delesyonları;Other deletions from the autosomes
7928;Q93.9;Otozomların delesyonu, tanımlanmamış;Deletion from autosomes, unspecified
7929;Q95;Kromozomal düzenlenmeler ve yapısal özellikler, başka yerde ;Chromosomal rearrangements and structural features elsewhere 
7930;Q95.0;Dengelenmiş translokasyon ve insersiyon, normal kişilerde;Balanced translocation and insertion in normal individual
7931;Q95.1;Kromozom inversiyonu, normal kişilerde;Chromosome inversion in normal individual
7932;Q95.2;Dengelenmiş otozomal yeniden düzenlenme, anormal kişilerde;Balanced autosomal rearrangement in abnormal individual
7933;Q95.3;Dengelenmiş seks/otozomal yeniden düzenlenme, anormal kişilerde;Balanced sex / autosomal rearrangement in abnormal individual
7934;Q95.4;Marker heterokromatinli kişiler;Mark heterochromatin people
7935;Q95.5;Otozomal kırılgan bölgesi olan kişiler;Individuals with autosomal fragile site
7936;Q95.8;Dengelenmiş yeniden düzenlenme ve yapısal markerler, diğer;balanced rearrangements and structural markers other
7937;Q95.9;Dengelenmiş yeniden düzenlenme ve yapısal marker, tanımlanmamış;Balanced rearrangement and structural marker, unspecified
7938;Q96;Turner sendromu;Turner's syndrome
7939;Q96.0;Karyotip 45, X;Karyotype 45, X
7940;Q96.1;Karyotip 46, X iso (Xq);46, X iso (Xq)
7941;Q96.2;Karyotip 46, X, anormal seks kromozomu ile, iso (Xq) hariç;46, X with abnormal sex chromosome, iso (Xq) excluding
7942;Q96.3;Mosaisizm, 45, X/46, XX veya XY;Mosaicism, 45, X / 46, XX or XY
7943;Q96.4;Mosaisizm, 45, X/diğer anormal seks kromozomu hücresi taşıyan(lar);Mosaicism, 45, X / other cell with abnormal sex chromosome (s)
7944;Q96.8;Turner sendromunun diğer varyantları;Other variants of Turner syndrome
7945;Q96.9;Turner sendromu, tanımlanmamış;Turner's syndrome, unspecified
7946;Q97;Seks kromozomu diğer anomalileri, kadın fenotip, başka ;Other sex chromosome abnormalities, female phenotype, not elsewhere 
7947;Q97.0;Karyotip 47,XXX;Karyotype 47, XXX
7948;Q97.1;Kadın, üçten fazla X kromozomu olan;Women, more than three X chromosomes
7949;Q97.2;Mosaisizm, X kromozomunun değişik sayılarını taşıyan;Mosaicism, with various numbers of X chromosome
7950;Q97.3;Kadın, 46,XY karyotipi ile;Female, 46, XY karyotype
7951;Q97.8;Seks kromozomu anomalileri, kadın fenotip, diğer tanımlanmış;Sex chromosome abnormalities, female phenotype, other specified
7952;Q97.9;Seks kromozomu anomalisi, kadın fenotip, tanımlanmamış;Sex chromosome abnormality, female phenotype, unspecified
7953;Q98;Seks kromozomu diğer anomalileri, erkek fenotip, başka ;Other sex chromosome abnormalities, male phenotype, not elsewhere 
7954;Q98.0;Klinefelter sendromu karyotip 47,XXY;Klinefelter's syndrome karyotype 47, XXY
7955;Q98.1;Klinefelter sendromu, ikiden fazla X kromozomu olan erkek;Klinefelter's syndrome, male with more than two X chromosomes
7956;Q98.2;Klinefelter sendromu: 46, XX karyotipli erkek;Klinefelter syndrome: 46, XX karyotype men
7957;Q98.3;46, XX karyotipli diğer erkek;46, XX karyotype other men
7958;Q98.4;Klinefelter sendromu, tanımlanmamış;Klinefelter's syndrome, unspecified
7959;Q98.5;Karyotip 47, XYY;Karyotype 47, XYY
7960;Q98.6;Erkek, yapısal olarak anormal seks kromozomu olan;Male structurally abnormal sex chromosome
7961;Q98.7;Erkek, seks kromozomu mosaisizmi olan;Male sex chromosome mosaicism with
7962;Q98.8;Seks kromozom anomalileri erkek fenotip, diğer tanımlanmış;Sex chromosome abnormalities male phenotype, other specified
7963;Q98.9;Seks kromozomu anomalisi, erkek fenotip, tanımlanmamış;Sex chromosome abnormality, male phenotype, unspecified
7964;Q99;Kromozom diğer anomalileri, başka yerde sınıflanmamış;Other chromosome abnormalities, not elsewhere classified
7965;Q99.0;Chimera 46, XX/46, XY;Chimera 46, XX / 46, XY
7966;Q99.1;46, XX gerçek hermafrodit;46, XX true hermaphrodites
7967;Q99.2;Kırılgan X kromozomu;Fragile X chromosome
7968;Q99.8;Kromozom anomalileri diğer, tanımlanmış;Chromosomal abnormalities other specified
7969;Q99.9;Kromozom anomalisi, tanımlanmamış;Chromosomal abnormality, unspecified
7970;R00;Kalp atım anormallikleri;Heart abnormalities
7971;R00.0;Taşikardi, tanımlanmamış;Tachycardia, unspecified
7972;R00.1;Bradikardi, tanımlanmamış;Bradycardia, unspecified
7973;R00.2;Çarpıntı;Palpitation
7974;R00.8;Nabız anormallikleri, diğer ve tanımlanmamış;Pulse abnormalities, other and unspecified
7975;R01;Kardiak üfürüm ve diğer kardiak sesler;Cardiac murmurs and other cardiac sounds
7976;R01.0;Benign ve zararsız kalp üfürümleri;Heart murmurs are benign and harmless
7977;R01.1;Kardiyak üfürüm, tanımlanmamış;Cardiac murmur, unspecified
7978;R01.2;Kalp sesleri, diğer;Heart sounds, other
7979;R02;Gangren, başka yerde sınıflanmamış;Gangrene, not elsewhere classified
7980;R03;Kan basıncının anormal olması, tanısı olmayan;Abnormal blood pressure is not diagnosed
7981;R03.0;Kan basıncının yüksek olması, hipertansiyon tanısı olmayan;The high blood pressure, without a diagnosis of hypertension
7982;R03.1;Özellik göstermeyen düşük tansiyon bulgusu;Feature show signs of low blood pressure
7983;R04;Solunum yollarından kaynaklanan kanama;Respiratory tract bleeding due to
7984;R04.0;Epistaksis;epistaxis
7985;R04.1;Boğazdan kan gelmesi;blood coming out from the Straits
7986;R04.2;Hemoptizi;hemoptysis
7987;R04.8;Solunum yollarında herhangi bir yerde hemoraji;anywhere in the respiratory tract haemorrhage
7988;R04.9;Solunum yollarından hemoraji, tanımlanmamış;respiratory tract haemorrhage, unspecified
7989;R05;Öksürük;Cough
7990;R06;Solunum anormallikleri;Respiratory abnormalities
7991;R06.0;Dispne;Dyspnea
7992;R06.1;Stridor;Strider
7993;R06.2;Hırıltı (Wheezing);Wheezing (wheezing)
7994;R06.3;Periodik solunum;Periodic breathing
7995;R06.4;Hiperventilasyon;hyperventilation
7996;R06.5;Ağız solunumu;mouth breathing
7997;R06.6;Hıçkırık;Hiccup
7998;R06.7;Hapşırık;Sneeze
7999;R06.8;Solunumun diğer ve tanımlanmamış anormallikleri;Other and unspecified abnormalities of breathing
8000;R07;Boğaz ve göğüste ağrı;Throat and chest pain
8001;R07.0;Boğaz ağrısı;Throat ache
8002;R07.1;Solunumda göğüs ağrısı;chest pain on breathing
8003;R07.2;Prekordial ağrı;precordial pain
8004;R07.3;Göğüs ağrısı, Diğer;Chest pain, Other
8005;R07.4;Göğüs ağrısı, tanımlanmamış;Chest pain, unspecified
8006;R09;Dolaşım ve solunum sistemine ait diğer semptom ve belirtiler ;Other symptoms and signs of circulatory and respiratory systems 
8007;R09.0;Asfiksi;asphyxia
8008;R09.1;Plörezi;Pleurisy
8009;R09.2;Respiratuvar arrest;Respiratory arrest
8010;R09.3;Anormal balgam;abnormal sputum
8011;R09.8;Dolaşım ve solunum sisteminin diğer tanımlanmış semptom ve belirtileri;Other specified symptoms and signs of circulatory and respiratory system
8012;R10;Abdominal ve pelvik ağrı;Abdominal and pelvic pain
8013;R10.0;Akut batın;Acute abdomen
8014;R10.1;Üst karın ağrısı;Upper abdominal pain
8015;R10.2;Pelvik ve perineal ağrı;Pelvic and perineal pain
8016;R10.3;Alt karnın diğer bölgelerine lokalize ağrı;localized pain in the lower abdomen in other regions
8017;R10.4;Karın ağrısı diğer ve tanımlanmamış;Other and unspecified abdominal pain
8018;R11;Bulantı ve kusma;Nausea and vomiting
8019;R12;Göğüste yanma hissi;Heartburn
8020;R13;Disfaji;dysphagia
8021;R14;Barsak gazı ve ilişkili durumlar;Flatulence and related conditions
8022;R15;Fekal inkontinans;fecal incontinence
8023;R16;Hepatomegali ve splenomegali, başka yerde sınıflanmamış;Hepatomegaly and splenomegaly, not elsewhere classified
8024;R16.0;Hepatomegali, başka yerde sınıflanmamış;Hepatomegaly, not elsewhere classified
8025;R16.1;Splenomegali, başka yerde sınıflanmamış;Splenomegaly, not elsewhere classified
8026;R16.2;Hepatomegali, splenomegali ile, başka yerde sınıflanmamış;Hepatomegaly with splenomegaly, not elsewhere classified
8027;R17;Sarılık, tanımlanmamış;Jaundice, unspecified
8028;R18;Assit;ascites
8029;R19;Sindirim sistemi ve karına ait diğer semptom ve belirtiler;Other symptoms and signs involving the digestive system and abdomen
8030;R19.0;Karın içi ve pelvik şişkinlikler, kitle ve yumru;Intra-abdominal and pelvic swelling, mass and lump
8031;R19.1;Anormal barsak sesleri;Abnormal bowel sounds
8032;R19.2;Görülebilen peristalsizm;Visible peristalsizm
8033;R19.3;Abdominal sertlik;abdominal stiffness
8034;R19.4;Barsak alışkanlıklarının değişmesi;change in bowel habits
8035;R19.5;Fekal anormallikler, diğer;Fecal abnormalities, other
8036;R19.6;Ağız kokusu;halitosis
8037;R19.8;Sindirim sistemi ve karına ait diğer tanımlanmış semptom ve belirtiler;Other specified symptoms and signs involving the digestive system and abdomen
8038;R20;Deri duyu bozuklukları;Leather sensory disturbances
8039;R20.0;Deri anestezisi;Leather anesthesia
8040;R20.1;Deri hipoestezisi;Leather hypoesthesia
8041;R20.2;Deri parestezisi;Leather paresthesia
8042;R20.3;Hiperestezi;hyperestesia
8043;R20.8;Deri duyusunun diğer ve tanımlanmamış bozuklukları;Other and unspecified disturbances of skin sensation
8044;R21;Kızarıklık ve diğer tanımlanmamış deri döküntüsü;Redness, skin rash and other defined
